省份,网民数（万人）,互联网普及率,网民规模增速
北京,1690,77.80%,2.60%
上海,1791,74.10%,1.00%
广东,8024,74.00%,3.30%
福建,2678,69.70%,1.10%
浙江,3632,65.60%,1.00%
天津,999,64.60%,4.50%
辽宁,2741,62.60%,0.40%
江苏,4513,56.60%,2.20%
山西,2035,55.50%,3.00%
新疆,1296,54.90%,2.70%
青海,320,54.50%,0.80%
河北,3956,53.30%,6.00%
山东,5207,52.90%,8.70%
陕西,1989,52.40%,5.50%
内蒙古,1311,52.20%,4.10%
海南,470,51.60%,0.90%
重庆,1556,51.60%,7.60%
湖北,3009,51.40%,10.50%
吉林,1402,50.90%,6.70%
宁夏,339,50.70%,3.70%
黑龙江,1835,48.10%,7.50%
西藏,149,46.10%,5.50%
广西,2213,46.10%,8.80%
江西,2035,44.60%,15.70%
湖南,3013,44.40%,12.20%
安徽,2721,44.30%,13.60%
四川,3575,43.60%,9.70%
河南,4110,43.40%,11.00%
贵州,1524,43.20%,13.20%
甘肃,1101,42.40%,9.60%
云南,1892,39.90%,7.40%
全国,73125,53.20%,6.20%
